project;has_junit;has_smoke;directs_in_tree;static_n;static_direct;static_transit;junit_add_n;junit_add_direct;junit_add_transit;smokeonly_add_n;smokeonly_add_direct;smokeonly_add_transit;anchor_add_n;anchor_add_direct;anchor_add_transit;final_n;final_direct;final_transit
Daggerpov-Spawn-App-Back-End;1;1;23;50;13;37;30;0;30;3;2;1;7;7;0;90;22;68
InseeFr-Eno;1;1;16;26;13;13;12;0;12;28;1;27;2;2;0;68;16;52
ajaynegi45-LibraryMan-API;1;1;13;23;5;18;5;0;5;34;1;33;6;6;0;68;12;56
anthonyraymond-joal;1;1;16;29;9;20;8;0;8;1;1;0;6;6;0;44;16;28
apache-iotdb-extras;1;1;100;81;71;10;0;0;0;0;0;0;10;10;0;91;81;10
bmarwell-shiro-jwt-showcase;1;1;10;11;8;3;0;0;0;5;1;4;0;0;0;16;9;7
caravanacloud-javainterviews;1;1;8;2;0;2;25;5;20;14;0;14;2;2;0;43;7;36
cardano-foundation-cf-adahandle-resolver;1;1;8;18;2;16;75;3;72;1;0;1;3;3;0;97;8;89
clickhouse-clickhouse-jdbc-bridge;1;1;11;11;9;2;0;0;0;0;0;0;0;0;0;11;9;2
clklog-clklog-api;1;1;14;33;3;30;0;0;0;39;2;37;5;5;0;77;10;67
codeforkjeff-conciliator;1;1;5;16;2;14;14;0;14;0;0;0;3;3;0;33;5;28
colinzhu-web-console;1;1;3;4;3;1;0;0;0;6;0;6;0;0;0;10;3;7
despensa-app-despensa-rest-api;1;1;13;28;5;23;3;1;2;32;2;30;4;4;0;67;12;55
dmatik-oref-alerts-proxy-ms;1;1;5;9;2;7;20;1;19;0;0;0;1;1;0;30;4;26
durimkryeziu-family-tree-xml-parser;1;1;5;8;0;8;18;3;15;0;0;0;2;2;0;28;5;23
ent0n29-polybot;1;1;17;27;11;16;24;2;22;3;0;3;4;4;0;58;17;41
extenda-structurizr-to-png;1;1;11;11;9;2;0;0;0;12;2;10;0;0;0;23;11;12
galan-gitlab-panorama;1;1;8;18;2;16;0;0;0;19;0;19;4;4;0;41;6;35
geoatlas-cloud-geo-atlas;1;1;34;47;22;25;7;0;7;30;7;23;5;5;0;89;34;55
isinhah-flight-booking;1;1;10;24;2;22;32;4;28;2;0;2;4;4;0;62;10;52
jisl1024-JiChat;1;1;41;60;18;42;1;0;1;0;0;0;14;14;0;75;32;43
kairosdb-kairosdb;1;1;57;52;38;14;10;4;6;0;0;0;4;4;0;66;46;20
kasramp-eris;1;1;15;29;5;24;57;2;55;0;0;0;8;8;0;94;15;79
mosip-inji-certify;1;1;38;79;27;52;78;3;75;0;0;0;8;8;0;165;38;127
qmjy-mapbox-offline-server;1;1;23;41;13;28;1;0;1;31;2;29;6;6;0;79;21;58
sdaschner-favorite-coffee;1;1;7;19;0;19;0;0;0;24;0;24;6;6;0;49;6;43
swisspost-vertx-cluster-watchdog;1;1;9;8;7;1;8;0;8;0;0;0;0;0;0;16;7;9
ymanvieu-trading;1;1;28;42;7;35;41;9;32;1;0;1;9;9;0;93;25;68
zhu8915985-ruoqus;1;1;12;22;6;16;50;5;45;0;0;0;0;0;0;72;11;61
