category,tool,n_deps,TP,FP,TN,FN,precision,recall,f1,accuracy
binding-serviceloader,DepClean,5,2,2,1,0,0.5,1.0,0.6667,0.6
binding-serviceloader,Slimming_C,5,2,0,3,0,1.0,1.0,1.0,1.0
binding-serviceloader,Slimming_A,5,2,0,3,0,1.0,1.0,1.0,1.0
binding-static-init,DepClean,5,2,0,3,0,1.0,1.0,1.0,1.0
binding-static-init,Slimming_C,5,2,0,3,0,1.0,1.0,1.0,1.0
binding-static-init,Slimming_A,5,2,0,3,0,1.0,1.0,1.0,1.0
level-r1-literal,DepClean,5,2,0,3,0,1.0,1.0,1.0,1.0
level-r1-literal,Slimming_C,5,2,1,2,0,0.6667,1.0,0.8,0.8
level-r1-literal,Slimming_A,5,2,1,2,0,0.6667,1.0,0.8,0.8
level-r4-param-passing,DepClean,5,2,0,3,0,1.0,1.0,1.0,1.0
level-r4-param-passing,Slimming_C,5,2,1,2,0,0.6667,1.0,0.8,0.8
level-r4-param-passing,Slimming_A,5,2,3,0,0,0.4,1.0,0.5714,0.4
level-r5-config-file,DepClean,5,2,2,1,0,0.5,1.0,0.6667,0.6
level-r5-config-file,Slimming_C,5,2,1,2,0,0.6667,1.0,0.8,0.8
level-r5-config-file,Slimming_A,5,2,3,0,0,0.4,1.0,0.5714,0.4
level-r6-annotation,DepClean,6,2,2,2,0,0.5,1.0,0.6667,0.6667
level-r6-annotation,Slimming_C,6,2,1,3,0,0.6667,1.0,0.8,0.8333
level-r6-annotation,Slimming_A,6,2,3,1,0,0.4,1.0,0.5714,0.5
level-r7-runtime-computed,DepClean,5,2,2,1,0,0.5,1.0,0.6667,0.6
level-r7-runtime-computed,Slimming_C,5,2,1,2,0,0.6667,1.0,0.8,0.8
level-r7-runtime-computed,Slimming_A,5,2,3,0,0,0.4,1.0,0.5714,0.4
mechanism-field-access,DepClean,5,2,0,3,0,1.0,1.0,1.0,1.0
mechanism-field-access,Slimming_C,5,2,1,2,0,0.6667,1.0,0.8,0.8
mechanism-field-access,Slimming_A,5,2,1,2,0,0.6667,1.0,0.8,0.8
mechanism-method-invoke,DepClean,5,2,0,3,0,1.0,1.0,1.0,1.0
mechanism-method-invoke,Slimming_C,5,2,2,1,0,0.5,1.0,0.6667,0.6
mechanism-method-invoke,Slimming_A,5,2,2,1,0,0.5,1.0,0.6667,0.6
mechanism-methodhandle,DepClean,5,2,0,3,0,1.0,1.0,1.0,1.0
mechanism-methodhandle,Slimming_C,5,2,2,1,0,0.5,1.0,0.6667,0.6
mechanism-methodhandle,Slimming_A,5,2,2,1,0,0.5,1.0,0.6667,0.6
mechanism-proxy,DepClean,5,2,0,3,0,1.0,1.0,1.0,1.0
mechanism-proxy,Slimming_C,5,2,0,3,0,1.0,1.0,1.0,1.0
mechanism-proxy,Slimming_A,5,2,0,3,0,1.0,1.0,1.0,1.0
topology-chain-reflect,DepClean,5,2,0,3,0,1.0,1.0,1.0,1.0
topology-chain-reflect,Slimming_C,5,2,1,2,0,0.6667,1.0,0.8,0.8
topology-chain-reflect,Slimming_A,5,2,1,2,0,0.6667,1.0,0.8,0.8
topology-diamond,DepClean,6,2,0,4,0,1.0,1.0,1.0,1.0
topology-diamond,Slimming_C,6,2,1,3,0,0.6667,1.0,0.8,0.8333
topology-diamond,Slimming_A,6,2,1,3,0,0.6667,1.0,0.8,0.8333
