project;build;junit;smoke
Daggerpov-Spawn-App-Back-End;fail;-;-
InseeFr-Eno;pass;fail;fail
ajaynegi45-LibraryMan-API;fail;-;-
anthonyraymond-joal;fail;-;-
bmarwell-shiro-jwt-showcase;fail;-;-
caravanacloud-javainterviews;fail;-;-
cardano-foundation-cf-adahandle-resolver;fail;-;-
clklog-clklog-api;fail;-;-
codeforkjeff-conciliator;fail;-;-
colinzhu-web-console;fail;-;-
despensa-app-despensa-rest-api;fail;-;-
dmatik-oref-alerts-proxy-ms;fail;-;-
durimkryeziu-family-tree-xml-parser;fail;-;-
ent0n29-polybot;fail;-;-
extenda-structurizr-to-png;fail;-;-
galan-gitlab-panorama;fail;-;-
geoatlas-cloud-geo-atlas;fail;-;-
isinhah-flight-booking;fail;-;-
jisl1024-JiChat;fail;-;-
kairosdb-kairosdb;fail;-;-
kasramp-eris;fail;-;-
mosip-inji-certify;fail;-;-
qmjy-mapbox-offline-server;fail;-;-
sdaschner-favorite-coffee;fail;-;-
ymanvieu-trading;fail;-;-
zhu8915985-ruoqus;fail;-;-
apache-iotdb-extras;pass;pass;fail
swisspost-vertx-cluster-watchdog;pass;fail;fail
clickhouse-clickhouse-jdbc-bridge;pass;fail;pass
