project;build;junit;smoke
Daggerpov-Spawn-App-Back-End;pass;pass;pass
InseeFr-Eno;pass;pass;pass
ajaynegi45-LibraryMan-API;pass;fail;fail
anthonyraymond-joal;fail;-;-
apache-iotdb-extras;fail;-;-
bmarwell-shiro-jwt-showcase;fail;-;-
caravanacloud-javainterviews;fail;-;-
cardano-foundation-cf-adahandle-resolver;fail;-;-
clickhouse-clickhouse-jdbc-bridge;noop;-;-
clklog-clklog-api;fail;-;-
codeforkjeff-conciliator;fail;-;-
colinzhu-web-console;noop;-;-
despensa-app-despensa-rest-api;pass;pass;fail
dmatik-oref-alerts-proxy-ms;fail;-;-
durimkryeziu-family-tree-xml-parser;fail;-;-
ent0n29-polybot;fail;-;-
extenda-structurizr-to-png;noop;-;-
galan-gitlab-panorama;pass;pass;pass
geoatlas-cloud-geo-atlas;fail;-;-
isinhah-flight-booking;fail;-;-
jisl1024-JiChat;fail;-;-
kairosdb-kairosdb;pass;fail;fail
kasramp-eris;fail;-;-
mosip-inji-certify;fail;-;-
qmjy-mapbox-offline-server;fail;-;-
sdaschner-favorite-coffee;fail;-;-
swisspost-vertx-cluster-watchdog;noop;-;-
ymanvieu-trading;pass;fail;fail
zhu8915985-ruoqus;fail;-;-
