project;build;junit;smoke
Daggerpov-Spawn-App-Back-End;pass;pass;pass
InseeFr-Eno;pass;pass;fail
ajaynegi45-LibraryMan-API;pass;fail;pass
anthonyraymond-joal;fail;-;-
apache-iotdb-extras;pass;-;pass
bmarwell-shiro-jwt-showcase;pass;pass;-
caravanacloud-javainterviews;fail;-;-
cardano-foundation-cf-adahandle-resolver;fail;-;-
clickhouse-clickhouse-jdbc-bridge;pass;fail;pass
clklog-clklog-api;pass;pass;pass
codeforkjeff-conciliator;pass;pass;pass
colinzhu-web-console;pass;-;pass
despensa-app-despensa-rest-api;pass;pass;fail
dmatik-oref-alerts-proxy-ms;pass;pass;pass
durimkryeziu-family-tree-xml-parser;fail;-;-
ent0n29-polybot;fail;-;-
extenda-structurizr-to-png;pass;pass;fail
galan-gitlab-panorama;pass;pass;pass
geoatlas-cloud-geo-atlas;fail;-;-
isinhah-flight-booking;pass;fail;pass
jisl1024-JiChat;fail;-;-
kairosdb-kairosdb;pass;fail;fail
kasramp-eris;fail;-;-
mosip-inji-certify;fail;-;-
qmjy-mapbox-offline-server;fail;-;-
sdaschner-favorite-coffee;fail;-;-
swisspost-vertx-cluster-watchdog;pass;pass;pass
ymanvieu-trading;fail;-;-
zhu8915985-ruoqus;fail;-;-
