project_id,tool,gt_mode,ground_truth,module_type,total_deps,nia_total,nia_mapped,b_used_hit,b_used_nohit,b_bloated_hit,b_bloated_nohit,b_unloaded_hit,b_unloaded_nohit,tp,fp,tn,fn,removed,precision,recall,f1,fp_rate
Daggerpov-Spawn-App-Back-End,depclean,nia,G_S,single,259,1768,1218,61,145,5,48,,,48,5,61,145,53,0.9057,0.2487,0.3902,0.0943
Daggerpov-Spawn-App-Back-End,slimming,nia,G_S,single,285,1768,1218,43,153,2,6,21,60,6,2,64,213,8,0.75,0.0274,0.0529,0.25
InseeFr-Eno,depclean,nia,G_S,multi,131,1505,1114,43,53,17,18,,,18,17,43,53,35,0.5143,0.2535,0.3396,0.4857
InseeFr-Eno,slimming,nia,G_S,multi,132,1505,1114,42,59,0,1,18,12,1,0,60,71,1,1.0,0.0139,0.0274,0.0
ajaynegi45-LibraryMan-API,depclean,nia,G_S,single,120,2876,2244,53,39,9,19,,,19,9,53,39,28,0.6786,0.3276,0.4419,0.3214
ajaynegi45-LibraryMan-API,slimming,nia,G_S,single,122,2876,2244,47,50,0,1,15,9,1,0,62,59,1,1.0,0.0167,0.0328,0.0
anthonyraymond-joal,depclean,nia,G_S,single,90,1366,870,25,50,2,13,,,13,2,25,50,15,0.8667,0.2063,0.3333,0.1333
anthonyraymond-joal,slimming,nia,G_S,single,92,1366,870,16,55,1,4,10,6,4,1,26,61,5,0.8,0.0615,0.1143,0.2
apache-iotdb-extras,depclean,nia,G_S,multi,139,201,0,0,31,0,108,,,108,0,0,31,108,1.0,0.777,0.8745,0.0
apache-iotdb-extras,slimming,nia,G_S,multi,86,201,0,0,50,0,5,0,31,5,0,0,81,5,1.0,0.0581,0.1099,0.0
bmarwell-shiro-jwt-showcase,depclean,nia,G_S,multi,63,1611,31,3,51,1,8,,,8,1,3,51,9,0.8889,0.1356,0.2353,0.1111
bmarwell-shiro-jwt-showcase,slimming,nia,G_S,multi,66,1611,31,4,53,0,0,0,9,0,0,4,62,0,0.0,0.0,0.0,0.0
caravanacloud-javainterviews,depclean,nia,G_S,single,221,121,76,5,102,14,100,,,100,14,5,102,114,0.8772,0.495,0.6329,0.1228
caravanacloud-javainterviews,slimming,nia,G_S,single,222,121,76,13,147,0,8,6,48,8,0,19,195,8,1.0,0.0394,0.0758,0.0
cardano-foundation-cf-adahandle-resolver,depclean,nia,G_S,single,225,3261,2649,58,56,30,81,,,81,30,58,56,111,0.7297,0.5912,0.6532,0.2703
cardano-foundation-cf-adahandle-resolver,slimming,nia,G_S,single,232,3261,2649,51,97,2,14,35,33,14,2,86,130,16,0.875,0.0972,0.175,0.125
clickhouse-clickhouse-jdbc-bridge,depclean,nia,G_S,single,49,104,0,0,47,0,2,,,2,0,0,47,2,1.0,0.0408,0.0784,0.0
clickhouse-clickhouse-jdbc-bridge,slimming,nia,G_S,single,56,104,0,0,39,0,2,0,15,2,0,0,54,2,1.0,0.0357,0.069,0.0
clklog-clklog-api,depclean,nia,G_S,single,120,2382,1561,26,15,40,39,,,39,40,26,15,79,0.4937,0.7222,0.5865,0.5063
clklog-clklog-api,slimming,nia,G_S,single,122,2382,1561,47,51,0,0,18,6,0,0,65,57,0,0.0,0.0,0.0,0.0
codeforkjeff-conciliator,depclean,nia,G_S,single,69,1085,634,24,32,5,8,,,8,5,24,32,13,0.6154,0.2,0.3019,0.3846
codeforkjeff-conciliator,slimming,nia,G_S,single,70,1085,634,23,38,0,0,6,3,0,0,29,41,0,0.0,0.0,0.0,0.0
colinzhu-web-console,depclean,nia,G_S,single,23,80,49,8,12,1,2,,,2,1,8,12,3,0.6667,0.1429,0.2353,0.3333
colinzhu-web-console,slimming,nia,G_S,single,25,80,49,5,13,0,0,4,3,0,0,9,16,0,0.0,0.0,0.0,0.0
despensa-app-despensa-rest-api,depclean,nia,G_S,single,125,1838,1301,53,51,5,16,,,16,5,53,51,21,0.7619,0.2388,0.3636,0.2381
despensa-app-despensa-rest-api,slimming,nia,G_S,single,126,1838,1301,39,55,0,3,19,10,3,0,58,65,3,1.0,0.0441,0.0845,0.0
dmatik-oref-alerts-proxy-ms,depclean,nia,G_S,single,71,848,523,22,36,6,7,,,7,6,22,36,13,0.5385,0.1628,0.25,0.4615
dmatik-oref-alerts-proxy-ms,slimming,nia,G_S,single,72,848,523,18,35,0,0,10,9,0,0,28,44,0,0.0,0.0,0.0,0.0
durimkryeziu-family-tree-xml-parser,depclean,nia,G_S,single,69,1854,851,19,27,13,10,,,10,13,19,27,23,0.4348,0.2703,0.3333,0.5652
durimkryeziu-family-tree-xml-parser,slimming,nia,G_S,single,71,1854,851,25,32,0,0,7,7,0,0,32,39,0,0.0,0.0,0.0,0.0
ent0n29-polybot,depclean,nia,G_S,multi,135,1717,1148,38,47,10,40,,,40,10,38,47,50,0.8,0.4598,0.5839,0.2
ent0n29-polybot,slimming,nia,G_S,multi,142,1717,1148,42,78,0,2,6,14,2,0,48,92,2,1.0,0.0213,0.0417,0.0
extenda-structurizr-to-png,depclean,nia,G_S,single,79,131,76,16,51,1,11,,,11,1,16,51,12,0.9167,0.1774,0.2973,0.0833
extenda-structurizr-to-png,slimming,nia,G_S,single,80,131,76,13,47,0,2,4,14,2,0,17,61,2,1.0,0.0317,0.0615,0.0
galan-gitlab-panorama,depclean,nia,G_S,single,88,1213,748,26,39,8,15,,,15,8,26,39,23,0.6522,0.2778,0.3896,0.3478
galan-gitlab-panorama,slimming,nia,G_S,single,90,1213,748,21,43,0,4,13,9,4,0,34,52,4,1.0,0.0714,0.1333,0.0
geoatlas-cloud-geo-atlas,depclean,nia,G_S,multi,175,1742,1328,49,71,18,37,,,37,18,49,71,55,0.6727,0.3426,0.454,0.3273
geoatlas-cloud-geo-atlas,slimming,nia,G_S,multi,168,1742,1328,46,80,2,6,15,19,6,2,61,99,8,0.75,0.0571,0.1062,0.25
isinhah-flight-booking,depclean,nia,G_S,single,114,1827,1378,41,39,17,17,,,17,17,41,39,34,0.5,0.3036,0.3778,0.5
isinhah-flight-booking,slimming,nia,G_S,single,115,1827,1378,37,50,0,0,21,7,0,0,58,57,0,0.0,0.0,0.0,0.0
jisl1024-JiChat,depclean,nia,G_S,multi,292,3295,2528,88,119,32,53,,,53,32,88,119,85,0.6235,0.3081,0.4125,0.3765
jisl1024-JiChat,slimming,nia,G_S,multi,133,3295,2528,68,45,2,5,10,3,5,2,78,48,7,0.7143,0.0943,0.1667,0.2857
kairosdb-kairosdb,depclean,nia,G_S,single,154,630,230,31,74,3,46,,,46,3,31,74,49,0.9388,0.3833,0.5444,0.0612
kairosdb-kairosdb,slimming,nia,G_S,single,196,630,230,28,107,0,6,6,49,6,0,34,156,6,1.0,0.037,0.0714,0.0
kasramp-eris,depclean,nia,G_S,single,287,2870,2223,56,101,25,105,,,105,25,56,101,130,0.8077,0.5097,0.625,0.1923
kasramp-eris,slimming,nia,G_S,single,317,2870,2223,56,154,2,12,22,71,12,2,78,225,14,0.8571,0.0506,0.0956,0.1429
mosip-inji-certify,depclean,nia,G_S,multi,735,4487,3583,97,83,34,521,,,521,34,97,83,555,0.9387,0.8626,0.8991,0.0613
mosip-inji-certify,slimming,nia,G_S,multi,305,4487,3583,87,133,5,9,38,33,9,5,125,166,14,0.6429,0.0514,0.0952,0.3571
qmjy-mapbox-offline-server,depclean,nia,G_S,single,213,1232,907,35,115,12,51,,,51,12,35,115,63,0.8095,0.3072,0.4454,0.1905
qmjy-mapbox-offline-server,slimming,nia,G_S,single,223,1232,907,39,135,1,5,7,36,5,1,46,171,6,0.8333,0.0284,0.0549,0.1667
sdaschner-favorite-coffee,depclean,nia,G_S,single,363,253,125,18,145,13,187,,,187,13,18,145,200,0.935,0.5633,0.703,0.065
sdaschner-favorite-coffee,slimming,nia,G_S,single,133,253,125,19,68,0,8,12,26,8,0,31,94,8,1.0,0.0784,0.1455,0.0
swisspost-vertx-cluster-watchdog,depclean,nia,G_S,single,34,406,239,11,16,0,7,,,7,0,11,16,7,1.0,0.3043,0.4667,0.0
swisspost-vertx-cluster-watchdog,slimming,nia,G_S,single,35,406,239,8,22,0,0,3,2,0,0,11,24,0,0.0,0.0,0.0,0.0
